Number,First,Len,Rotate,GNU,Rot13,FAQ6,Ly,Rs,Sum
155,0,0,16,0,3,22,27,21,0
156,0,0,21,0,1,20,24,22,0
157,0,0,23,0,4,19,13,18,0
158,0,0,23,0,4,22,16,20,0
159,0,0,16,0,5,21,22,19,0
160,0,0,15,0,2,21,20,21,0
161,0,0,18,0,2,17,20,22,0
162,0,0,16,0,3,13,13,22,0
163,0,0,23,0,2,14,21,27,0
164,0,0,25,0,4,19,26,25,0
165,0,0,23,0,1,19,21,17,0
166,0,0,20,0,3,19,9,15,0
167,0,0,17,0,3,11,21,16,0
168,0,0,21,0,3,18,26,18,0
169,0,0,22,0,1,24,19,13,0
170,0,0,22,0,2,21,21,19,0
171,0,0,22,0,2,23,24,23,0
172,0,0,21,0,3,25,21,11,0
173,0,0,20,0,7,23,22,21,0
174,0,0,19,0,3,25,17,20,0
175,0,0,25,0,3,18,21,17,0
176,0,0,18,0,9,18,22,12,0
177,0,0,26,0,3,26,15,21,0
178,0,0,21,0,4,29,20,19,0
179,0,0,13,0,3,16,14,34,0
180,0,0,20,0,6,28,17,21,0
181,0,0,15,0,4,19,24,22,0
182,0,0,28,0,3,26,17,13,0
183,0,0,21,0,8,16,25,18,0
184,0,0,23,0,6,16,16,19,0
185,0,0,19,0,6,17,21,20,0
186,0,0,20,0,6,18,23,19,0
187,0,0,22,0,7,19,18,25,0
188,0,0,13,0,12,30,18,22,0
189,0,0,21,0,7,19,25,24,0
190,0,0,29,0,5,25,21,27,0
191,0,0,20,0,5,22,15,25,0
192,0,0,19,0,10,29,18,20,0
193,0,0,18,0,8,13,22,26,0
194,0,0,21,0,8,15,19,23,1
195,0,0,16,0,6,25,17,19,2
196,0,0,22,0,12,22,28,24,3
197,0,0,22,0,8,19,16,19,3
198,0,0,19,0,16,18,20,16,5
199,0,0,14,0,8,19,19,15,5
200,0,0,16,0,9,23,18,12,7
201,0,0,21,0,4,15,17,19,7
202,0,0,24,0,10,32,20,24,5
203,0,0,15,0,10,24,18,18,8
204,0,0,20,0,7,19,28,26,7
205,0,0,28,0,16,13,25,16,9
206,0,0,24,0,7,22,23,24,9
207,0,0,16,0,7,14,24,13,10
208,0,0,25,0,12,18,24,20,8
209,0,0,20,0,10,18,17,21,10
210,0,0,18,0,16,26,20,22,12
211,0,0,22,0,17,20,16,23,13
212,0,0,19,0,5,16,22,19,15
213,0,0,21,0,10,13,24,16,16
214,0,0,17,0,11,27,22,21,14
215,0,0,26,0,6,25,21,23,16
216,0,0,15,0,12,25,19,21,19
217,0,0,14,0,9,21,25,20,19
218,0,0,25,0,8,25,28,20,17
