Number,First,Len,Rotate,GNU,Rot13,FAQ6,Ly,Rs,Sum
3926,0,0,22,0,56,23,20,11,0
3927,0,0,18,0,62,16,24,28,0
3928,0,0,18,0,40,25,21,17,0
3929,0,0,20,0,50,24,20,10,0
3930,0,0,23,0,53,18,22,17,0
3931,0,0,19,0,68,18,19,21,0
3932,0,0,16,0,88,14,22,14,0
3933,0,0,17,0,78,15,17,21,0
3934,0,0,21,0,88,21,26,12,0
3935,0,0,23,0,71,25,17,24,0
3936,0,0,18,0,104,19,29,21,0
3937,0,0,17,0,100,30,15,18,0
3938,0,0,17,0,112,24,29,22,0
3939,0,0,23,0,91,20,22,22,0
3940,0,0,6,0,111,12,16,21,0
3941,0,0,17,0,115,22,20,21,0
3942,0,0,21,0,111,16,25,25,0
3943,0,0,22,0,102,24,14,25,0
3944,0,0,27,0,97,16,18,17,0
3945,0,0,15,0,109,15,16,17,0
3946,0,0,20,0,113,14,21,18,0
3947,0,0,21,0,108,22,22,26,0
3948,0,0,23,0,113,10,29,21,0
3949,0,0,10,0,131,22,17,17,0
3950,0,0,16,0,126,18,20,23,0
3951,0,0,13,0,121,20,10,20,0
3952,0,0,20,0,118,16,21,27,0
3953,0,0,25,0,102,20,24,15,0
3954,0,0,32,0,103,24,20,26,0
3955,0,0,17,0,109,19,21,22,0
3956,0,0,21,0,101,29,20,21,0
3957,0,0,13,0,109,25,22,14,0
3958,0,0,15,0,112,24,16,25,0
3959,0,0,27,0,122,18,22,24,0
3960,0,0,16,0,109,17,21,13,0
3961,0,0,14,0,102,14,22,16,0
3962,0,0,25,0,89,25,21,21,0
3963,0,0,21,0,108,17,20,16,0
3964,0,0,14,0,91,27,17,30,0
3965,0,0,10,0,79,25,25,18,0
3966,0,0,17,0,92,28,13,23,0
3967,0,0,18,0,86,18,29,18,0
3968,0,0,24,0,76,23,17,17,0
3969,0,0,21,0,79,30,16,26,0
3970,0,0,29,0,73,24,22,14,0
3971,0,0,24,0,55,16,12,13,0
3972,0,0,19,0,67,17,26,20,0
3973,0,0,23,0,56,21,20,22,0
3974,0,0,32,0,69,14,18,18,0
3975,0,0,22,0,46,17,25,19,0
3976,0,0,20,0,51,18,18,18,0
3977,0,0,25,0,44,20,24,17,0
3978,0,0,17,0,37,22,24,17,0
3979,0,0,22,0,44,21,22,18,0
3980,0,0,27,0,38,17,18,22,0
3981,0,0,22,0,21,18,15,29,0
3982,0,0,19,0,19,13,14,23,0
3983,0,0,16,0,33,20,13,15,0
3984,0,0,22,0,27,15,17,29,0
3985,0,0,15,0,23,14,23,22,0
3986,0,0,20,0,11,27,21,20,0
3987,0,0,17,0,20,26,18,20,0
3988,0,0,28,0,20,21,19,22,0
3989,0,0,16,0,17,29,25,17,0
3990,0,0,16,0,10,16,24,26,0
3991,0,0,17,0,9,7,14,23,0
3992,0,0,21,0,12,24,21,19,0
3993,0,0,18,0,9,24,17,18,0
3994,0,0,18,0,9,15,22,25,0
3995,0,0,19,0,4,28,16,20,0
3996,0,0,19,0,2,26,20,17,0
3997,0,0,16,0,6,18,19,19,0
3998,0,0,24,0,1,21,22,21,0
3999,0,0,19,0,6,22,16,13,0
4000,0,0,11,0,4,23,23,22,0
4001,0,0,24,0,2,17,18,18,0
4002,0,0,22,0,1,23,25,13,0
4003,0,0,28,0,1,20,26,8,0
4004,0,0,18,0,0,20,20,18,0
4005,0,0,21,0,1,17,18,15,0
4006,0,0,22,0,4,19,21,22,0
4007,0,0,22,0,3,17,26,26,0
4008,0,0,26,0,2,15,17,13,0
4009,0,0,20,0,1,23,15,22,0
4010,0,0,16,0,2,17,19,17,0
4011,0,0,20,0,4,18,11,16,0
4012,0,0,24,0,8,10,24,23,0
4013,0,0,18,0,8,22,17,21,0
4014,0,0,25,0,6,12,20,26,0
4015,0,0,19,0,3,18,25,15,0
4016,0,0,27,0,13,19,13,20,0
4017,0,0,19,0,12,29,18,19,0
4018,0,0,14,0,13,17,25,22,0
4019,0,0,25,0,13,25,16,17,0
4020,0,0,17,0,12,19,19,18,0
4021,0,0,19,0,19,23,15,17,0
4022,0,0,21,0,22,14,23,29,0
4023,0,0,22,0,19,20,21,22,0
4024,0,0,18,0,20,16,19,17,0
4025,0,0,18,0,19,28,18,23,0
4026,0,0,20,0,23,26,20,17,0
4027,0,0,17,0,32,29,19,21,0
4028,0,0,18,0,29,23,20,19,0
4029,0,0,19,0,41,23,19,18,0
4030,0,0,19,0,34,27,25,19,0
4031,0,0,23,0,43,21,25,22,0
4032,0,0,24,0,33,20,23,15,0
4033,0,0,32,0,48,22,21,23,0
4034,0,0,23,0,48,19,19,21,0
4035,0,0,13,0,49,22,19,27,0
4036,0,0,20,0,45,15,17,20,0
4037,0,0,15,0,65,19,20,15,0
4038,0,0,24,0,47,21,19,17,0
4039,0,0,28,0,64,20,21,18,0
4040,0,0,21,0,91,19,13,15,0
4041,0,0,25,0,50,21,25,24,0
4042,0,0,23,0,77,15,27,25,0
4043,0,0,22,0,92,23,17,16,0
4044,0,0,16,0,87,21,22,25,0
4045,0,0,13,0,73,18,17,12,0
4046,0,0,23,0,93,20,21,16,0
4047,0,0,16,0,94,31,17,24,0
4048,0,0,17,0,97,15,22,24,0
4049,0,0,16,0,91,29,21,29,0
4050,0,0,18,0,96,23,22,18,0
4051,0,0,24,0,107,19,29,22,0
4052,0,0,14,0,119,19,21,21,0
4053,0,0,27,0,114,18,24,22,0
4054,0,0,18,0,100,13,24,32,0
4055,0,0,20,0,116,16,21,20,0
4056,0,0,15,0,117,29,24,18,0
4057,0,0,27,0,116,15,16,22,0
4058,0,0,23,0,117,18,19,18,0
4059,0,0,15,0,109,19,23,17,0
4060,0,0,14,0,132,19,28,24,0
4061,0,0,21,0,101,31,17,17,0
4062,0,0,23,0,114,21,17,22,0
4063,0,0,15,0,115,22,18,19,0
4064,0,0,23,0,120,18,26,33,0
4065,0,0,29,0,118,18,27,24,0
4066,0,0,19,0,121,19,21,17,0
4067,0,0,23,0,101,29,26,25,0
4068,0,0,22,0,113,17,24,15,0
4069,0,0,14,0,98,20,17,24,0
4070,0,0,25,0,110,20,21,24,0
4071,0,0,24,0,91,20,21,29,0
4072,0,0,15,0,94,19,24,19,0
4073,0,0,27,0,86,21,23,24,0
4074,0,0,26,0,99,22,29,25,0
4075,0,0,27,0,82,24,21,33,0
4076,0,0,29,0,87,22,32,25,0
4077,0,0,19,0,93,6,29,14,0
4078,0,0,30,0,91,28,26,17,0
4079,0,0,19,0,68,20,27,18,0
4080,0,0,24,0,63,29,28,26,0
4081,0,0,23,0,71,26,21,17,0
4082,0,0,29,0,63,16,17,20,0
4083,0,0,20,0,51,22,25,14,0
4084,0,0,21,0,71,21,13,23,0
4085,0,0,20,0,65,28,20,12,0
4086,0,0,19,0,64,18,23,20,0
4087,0,0,20,0,53,20,18,12,0
4088,0,0,16,0,47,15,26,19,0
4089,0,0,27,0,33,18,18,27,0
4090,0,0,22,0,40,17,27,18,0
4091,0,0,20,0,38,23,21,24,0
4092,0,0,16,0,43,21,20,14,0
4093,0,0,17,0,34,22,17,21,0
4094,0,0,21,0,22,19,15,21,0
4095,0,0,24,0,20,16,17,24,0
4096,0,0,20,0,21,18,10,18,0
4097,0,0,12,0,28,19,19,28,0
4098,0,0,19,0,14,16,23,19,0
4099,0,0,18,0,11,21,15,16,0
4100,0,0,24,0,16,26,20,20,0
4101,0,0,22,0,15,23,25,27,0
4102,0,0,22,0,22,16,18,25,0
4103,0,0,21,0,13,22,17,13,0
4104,0,0,25,0,10,27,19,22,0
4105,0,0,19,0,7,26,21,26,0
4106,0,0,26,0,9,27,16,27,0
4107,0,0,28,0,7,21,18,17,0
4108,0,0,17,0,6,27,15,22,0
4109,0,0,16,0,4,16,17,24,0
4110,0,0,15,0,8,27,23,25,0
4111,0,0,19,0,3,13,22,16,0
4112,0,0,21,0,5,15,25,29,0
4113,0,0,28,0,4,21,18,22,0
4114,0,0,14,0,5,21,21,17,0
4115,0,0,16,0,3,28,19,17,0
4116,0,0,18,0,10,15,20,19,0
4117,0,0,14,0,2,25,18,32,0
4118,0,0,26,0,3,14,10,29,0
4119,0,0,25,0,5,13,23,24,0
4120,0,0,19,0,5,20,28,18,0
4121,0,0,20,0,3,23,22,18,0
4122,0,0,10,0,9,27,17,15,0
4123,0,0,27,0,6,25,19,17,0
4124,0,0,16,0,10,14,17,17,0
4125,0,0,14,0,11,17,22,15,0
4126,0,0,23,0,12,22,23,24,0
4127,0,0,22,0,13,12,26,20,0
4128,0,0,18,0,13,24,23,17,0
4129,0,0,19,0,14,28,15,31,0
4130,0,0,25,0,19,18,14,19,0
4131,0,0,18,0,18,23,24,23,0
4132,0,0,25,0,17,23,23,25,0
4133,0,0,19,0,26,24,18,15,0
4134,0,0,29,0,18,21,16,20,0
4135,0,0,17,0,28,20,24,12,0
4136,0,0,27,0,33,17,22,22,0
4137,0,0,23,0,33,19,19,22,0
4138,0,0,21,0,27,16,18,21,0
4139,0,0,20,0,34,17,16,24,0
4140,0,0,18,0,37,15,20,19,0
4141,0,0,24,0,52,17,23,19,0
4142,0,0,13,0,41,19,32,21,0
4143,0,0,23,0,38,19,22,28,0
4144,0,0,19,0,42,13,19,19,0
4145,0,0,16,0,51,19,25,17,0
4146,0,0,24,0,42,21,19,15,0
4147,0,0,30,0,56,21,18,23,0
4148,0,0,18,0,70,31,21,20,0
4149,0,0,11,0,41,15,26,16,0
4150,0,0,14,0,56,20,16,27,0
4151,0,0,18,0,65,23,25,22,0
4152,0,0,25,0,72,20,20,14,0
4153,0,0,21,0,84,23,17,17,0
4154,0,0,16,0,90,25,27,21,0
4155,0,0,17,0,78,19,21,27,0
4156,0,0,22,0,81,28,19,24,0
4157,0,0,14,0,87,17,19,18,0
4158,0,0,18,0,89,24,17,18,0
4159,0,0,19,0,89,25,14,20,0
4160,0,0,15,0,93,23,16,21,0
4161,0,0,23,0,94,23,22,16,0
4162,0,0,21,0,109,20,26,18,0
4163,0,0,17,0,89,16,17,16,0
4164,0,0,24,0,93,17,18,27,0
4165,0,0,24,0,103,18,19,29,0
4166,0,0,28,0,88,19,24,14,0
4167,0,0,21,0,122,22,25,18,0
4168,0,0,28,0,93,12,21,11,0
4169,0,0,21,0,105,18,19,19,0
4170,0,0,11,0,96,19,27,20,0
4171,0,0,16,0,96,18,23,22,0
4172,0,0,11,0,77,23,16,19,0
4173,0,0,24,0,110,22,21,24,0
4174,0,0,18,0,101,28,29,30,0
4175,0,0,23,0,105,14,23,18,0
4176,0,0,22,0,93,18,23,16,0
4177,0,0,25,0,88,17,25,28,0
4178,0,0,19,0,90,21,17,12,0
4179,0,0,22,0,118,21,26,33,0
4180,0,0,17,0,81,19,21,20,0
4181,0,0,14,0,88,16,18,14,0
4182,0,0,20,0,79,21,18,22,0
4183,0,0,15,0,87,26,24,24,0
4184,0,0,16,0,81,13,14,30,0
4185,0,0,24,0,95,29,19,25,0
4186,0,0,21,0,75,23,16,17,0
4187,0,0,18,0,73,13,20,20,0
4188,0,0,17,0,71,12,9,20,0
4189,0,0,20,0,67,18,20,22,0
4190,0,0,19,0,51,11,14,26,0
4191,0,0,23,0,76,20,15,19,0
4192,0,0,18,0,69,23,17,28,0
4193,0,0,21,0,60,18,22,21,0
4194,0,0,22,0,55,16,23,20,0
4195,0,0,20,0,45,32,17,13,0
4196,0,0,24,0,41,21,29,19,0
4197,0,0,17,0,58,25,25,15,0
4198,0,0,31,0,36,19,21,12,0
4199,0,0,23,0,45,20,19,22,0
4200,0,0,24,0,42,17,19,19,0
4201,0,0,19,0,32,20,29,19,0
4202,0,0,16,0,26,23,14,22,0
4203,0,0,25,0,35,25,25,24,0
4204,0,0,31,0,30,24,26,18,0
4205,0,0,20,0,30,19,19,22,0
4206,0,0,19,0,24,23,12,20,0
4207,0,0,26,0,20,14,16,16,0
4208,0,0,21,0,21,24,19,19,0
4209,0,0,24,0,19,21,22,20,0
4210,0,0,17,0,16,28,22,15,0
4211,0,0,15,0,12,20,20,24,0
4212,0,0,20,0,10,17,25,25,0
4213,0,0,18,0,9,25,20,19,0
4214,0,0,21,0,13,30,15,18,0
4215,0,0,17,0,11,19,27,22,0
4216,0,0,22,0,5,21,13,14,0
4217,0,0,18,0,8,21,19,18,0
4218,0,0,19,0,6,27,14,18,0
4219,0,0,17,0,4,25,22,18,0
4220,0,0,12,0,5,19,20,25,0
4221,0,0,23,0,7,20,22,22,0
4222,0,0,20,0,8,26,28,22,0
4223,0,0,26,0,5,22,32,15,0
4224,0,0,20,0,2,20,23,15,0
4225,0,0,20,0,6,18,24,30,0
4226,0,0,18,0,8,22,22,13,0
4227,0,0,17,0,11,10,22,21,0
4228,0,0,29,0,3,29,21,21,0
4229,0,0,25,0,7,15,14,20,0
4230,0,0,23,0,4,31,23,24,0
4231,0,0,25,0,12,19,20,15,0
4232,0,0,18,0,7,26,22,18,0
4233,0,0,18,0,10,21,25,25,0
4234,0,0,18,0,8,26,22,19,0
4235,0,0,25,0,20,24,18,19,0
4236,0,0,26,0,9,31,16,19,0
4237,0,0,20,0,11,13,23,14,0
4238,0,0,15,0,8,21,14,24,0
4239,0,0,19,0,14,29,25,18,0
4240,0,0,22,0,16,20,13,16,0
4241,0,0,24,0,17,10,33,26,0
4242,0,0,19,0,12,24,26,31,0
4243,0,0,15,0,22,22,17,19,0
4244,0,0,13,0,32,26,19,23,0
4245,0,0,20,0,29,14,24,20,0
4246,0,0,22,0,17,21,21,28,0
4247,0,0,25,0,30,30,20,25,0
4248,0,0,18,0,39,20,23,14,0
4249,0,0,26,0,34,26,23,23,0
4250,0,0,20,0,29,16,25,21,0
4251,0,0,26,0,38,18,14,23,0
4252,0,0,19,0,45,23,16,19,0
4253,0,0,24,0,47,24,16,22,0
4254,0,0,19,0,46,15,24,21,0
4255,0,0,22,0,44,8,20,22,0
4256,0,0,20,0,44,16,19,23,0
4257,0,0,23,0,59,17,15,20,0
4258,0,0,23,0,51,17,20,21,0
4259,0,0,23,0,54,13,14,24,0
4260,0,0,21,0,47,24,13,25,0
4261,0,0,21,0,70,22,18,20,0
4262,0,0,24,0,73,11,18,14,0
4263,0,0,15,0,57,17,16,18,0
4264,0,0,15,0,76,23,23,28,0
4265,0,0,17,0,78,12,22,20,0
4266,0,0,22,0,74,24,21,20,0
4267,0,0,20,0,74,18,22,16,0
4268,0,0,18,0,75,23,25,18,0
4269,0,0,26,0,59,22,16,18,0
4270,0,0,21,0,77,27,24,14,0
4271,0,0,26,0,78,21,17,19,0
4272,0,0,24,0,86,15,13,22,0
4273,0,0,17,0,94,26,19,21,0
4274,0,0,20,0,93,19,24,22,0
4275,0,0,22,0,93,22,22,21,0
4276,0,0,27,0,88,14,20,16,0
4277,0,0,20,0,87,23,24,15,0
4278,0,0,21,0,90,25,24,22,0
4279,0,0,20,0,109,15,22,25,0
4280,0,0,16,0,87,26,23,19,0
4281,0,0,24,0,91,20,30,13,0
4282,0,0,19,0,84,17,18,18,0
4283,0,0,22,0,70,20,20,24,0
4284,0,0,13,0,103,17,19,28,0
4285,0,0,18,0,99,27,22,20,0
4286,0,0,18,0,86,17,11,20,0
4287,0,0,17,0,100,34,22,21,0
4288,0,0,20,0,81,11,25,13,0
4289,0,0,18,0,83,21,19,26,0
4290,0,0,18,0,76,21,24,17,0
4291,0,0,22,0,86,24,14,17,0
4292,0,0,18,0,69,20,16,26,0
4293,0,0,18,0,82,17,13,17,0
4294,0,0,21,0,70,21,28,18,0
4295,0,0,20,0,79,19,15,19,0
4296,0,0,32,0,64,22,20,22,0
4297,0,0,26,0,61,27,29,25,0
4298,0,0,21,0,49,23,14,15,0
4299,0,0,17,0,58,19,23,34,0
4300,0,0,20,0,47,21,21,20,0
4301,0,0,27,0,74,30,18,23,0
4302,0,0,11,0,77,24,14,21,0
4303,0,0,13,0,58,19,23,21,0
4304,0,0,24,0,50,21,23,19,0
4305,0,0,15,0,40,17,17,31,0
4306,0,0,32,0,46,23,16,21,0
4307,0,0,21,0,49,25,17,25,0
4308,0,0,27,0,37,20,26,20,0
4309,0,0,31,0,36,16,22,22,0
4310,0,0,24,0,32,23,22,21,0
4311,0,0,23,0,32,22,20,26,0
4312,0,0,37,0,24,14,18,20,0
4313,0,0,23,0,31,28,18,22,0
4314,0,0,22,0,28,9,26,22,0
4315,0,0,23,0,30,19,26,25,0
4316,0,0,24,0,24,20,18,27,0
4317,0,0,18,0,26,20,20,16,0
4318,0,0,12,0,27,24,17,20,0
4319,0,0,21,0,19,24,18,29,0
4320,0,0,19,0,15,21,15,14,0
4321,0,0,21,0,13,22,23,21,0
4322,0,0,19,0,19,26,11,21,0
4323,0,0,21,0,12,20,26,25,0
4324,0,0,18,0,14,22,25,16,0
4325,0,0,14,0,12,25,19,21,0
4326,0,0,21,0,14,26,24,22,0
4327,0,0,19,0,7,28,20,18,0
4328,0,0,33,0,7,19,23,19,0
4329,0,0,22,0,9,15,23,18,0
4330,0,0,20,0,3,33,26,26,0
4331,0,0,18,0,9,20,28,20,0
4332,0,0,30,0,8,27,14,20,0
4333,0,0,20,0,2,25,25,21,0
4334,0,0,23,0,8,27,24,16,0
4335,0,0,23,0,5,15,15,14,0
4336,0,0,19,0,7,22,24,21,0
4337,0,0,19,0,11,25,20,25,0
4338,0,0,18,0,9,15,23,24,0
4339,0,0,29,0,6,26,18,21,0
4340,0,0,19,0,11,23,29,16,0
4341,0,0,20,0,6,22,17,28,0
4342,0,0,16,0,7,25,20,22,0
4343,0,0,26,0,10,10,19,21,0
4344,0,0,17,0,7,23,13,20,0
4345,0,0,21,0,7,18,22,22,0
4346,0,0,17,0,11,12,16,20,0
4347,0,0,18,0,17,21,12,15,0
4348,0,0,19,0,21,23,19,28,0
4349,0,0,18,0,16,20,28,20,0
4350,0,0,21,0,12,18,14,25,0
4351,0,0,27,0,18,16,28,22,0
4352,0,0,20,0,17,20,26,23,0
4353,0,0,20,0,18,22,20,17,0
4354,0,0,17,0,21,23,13,27,0
4355,0,0,26,0,20,24,21,17,0
4356,0,0,20,0,24,26,20,28,0
4357,0,0,22,0,19,26,18,17,0
4358,0,0,16,0,21,26,16,18,0
4359,0,0,21,0,34,22,16,25,0
4360,0,0,23,0,36,14,25,19,0
4361,0,0,27,0,33,23,23,17,0
4362,0,0,10,0,32,15,15,23,0
4363,0,0,22,0,36,35,22,15,0
4364,0,0,16,0,46,17,25,18,0
4365,0,0,31,0,34,35,23,16,0
4366,0,0,21,0,47,17,16,23,0
4367,0,0,18,0,40,25,15,19,0
4368,0,0,22,0,39,17,13,19,0
4369,0,0,22,0,41,20,24,21,0
4370,0,0,25,0,52,27,14,21,0
4371,0,0,9,0,45,20,23,12,0
4372,0,0,17,0,54,18,23,18,0
4373,0,0,14,0,57,19,13,22,0
4374,0,0,21,0,63,18,27,20,0
4375,0,0,16,0,56,14,34,15,0
4376,0,0,18,0,53,16,15,24,0
4377,0,0,18,0,64,20,22,21,0
4378,0,0,20,0,67,20,32,17,0
4379,0,0,20,0,62,29,22,22,0
4380,0,0,22,0,70,23,16,20,0
4381,0,0,13,0,62,21,15,18,0
4382,0,0,19,0,59,17,19,22,0
4383,0,0,24,0,74,12,25,20,0
4384,0,0,22,0,75,21,19,18,0
4385,0,0,26,0,66,13,20,22,0
4386,0,0,20,0,69,18,12,24,0
4387,0,0,19,0,62,15,22,25,0
4388,0,0,25,0,67,23,16,31,0
4389,0,0,18,0,73,23,20,20,0
4390,0,0,19,0,76,26,17,25,0
4391,0,0,17,0,82,25,18,15,0
4392,0,0,20,0,65,16,27,20,0
4393,0,0,18,0,52,17,18,20,0
4394,0,0,17,0,72,13,23,31,0
4395,0,0,23,0,73,11,21,21,0
4396,0,0,15,0,60,16,25,18,0
4397,0,0,19,0,63,24,26,28,0
4398,0,0,21,0,69,17,25,23,0
4399,0,0,17,0,49,24,20,16,0
4400,0,0,25,0,71,13,20,21,0
4401,0,0,17,0,57,16,16,13,0
4402,0,0,23,0,58,12,30,24,0
4403,0,0,16,0,66,16,24,19,0
4404,0,0,21,0,65,23,13,21,0
4405,0,0,8,0,43,14,22,21,0
4406,0,0,17,0,57,30,16,22,0
4407,0,0,27,0,55,32,22,22,0
4408,0,0,24,0,56,19,19,18,0
4409,0,0,25,0,38,22,18,20,0
4410,0,0,20,0,47,17,21,20,0
4411,0,0,21,0,31,22,17,20,0
4412,0,0,20,0,58,10,19,25,0
4413,0,0,21,0,35,29,24,19,0
4414,0,0,18,0,30,21,27,28,0
4415,0,0,11,0,31,12,26,20,0
4416,0,0,11,0,51,20,23,25,0
4417,0,0,18,0,37,19,17,25,0
4418,0,0,25,0,36,17,24,28,0
4419,0,0,19,0,33,20,18,18,0
4420,0,0,20,0,29,17,20,26,0
4421,0,0,15,0,25,36,30,25,0
4422,0,0,21,0,24,19,21,21,0
4423,0,0,23,0,16,23,21,13,0
4424,0,0,21,0,25,23,26,18,0
4425,0,0,11,0,22,21,27,22,0
4426,0,0,27,0,19,23,25,17,0
4427,0,0,16,0,15,25,21,15,0
4428,0,0,17,0,14,20,24,24,0
4429,0,0,12,0,23,19,29,18,0
4430,0,0,22,0,13,26,18,27,0
4431,0,0,18,0,9,23,22,19,0
4432,0,0,22,0,10,25,17,19,0
4433,0,0,23,0,11,24,21,17,0
4434,0,0,23,0,10,17,15,20,0
4435,0,0,16,0,5,14,26,25,0
4436,0,0,28,0,9,16,29,23,0
4437,0,0,14,0,6,30,25,20,0
4438,0,0,14,0,10,22,16,23,0
4439,0,0,18,0,15,21,17,15,0
4440,0,0,17,0,15,19,23,15,0
4441,0,0,23,0,2,22,25,14,0
4442,0,0,26,0,7,16,27,18,0
4443,0,0,16,0,11,22,18,23,0
4444,0,0,19,0,5,18,24,23,0
4445,0,0,22,0,3,16,18,23,0
4446,0,0,15,0,11,21,21,21,0
4447,0,0,14,0,7,13,29,18,0
4448,0,0,22,0,6,15,23,23,0
4449,0,0,18,0,11,13,17,18,0
4450,0,0,20,0,1,18,19,20,0
4451,0,0,25,0,7,23,25,29,0
4452,0,0,24,0,8,19,20,10,0
4453,0,0,27,0,11,22,19,19,0
4454,0,0,22,0,12,24,21,24,0
4455,0,0,23,0,10,21,30,13,0
4456,0,0,21,0,11,17,25,19,0
4457,0,0,22,0,14,19,20,15,0
4458,0,0,17,0,13,19,25,17,0
4459,0,0,26,0,15,19,22,25,0
4460,0,0,22,0,10,14,25,20,0
4461,0,0,17,0,12,12,22,16,0
4462,0,0,17,0,21,20,19,16,0
4463,0,0,18,0,16,13,25,31,0
4464,0,0,17,0,25,17,22,21,0
4465,0,0,21,0,23,18,19,22,0
4466,0,0,25,0,19,14,24,25,0
4467,0,0,24,0,27,28,18,18,0
4468,0,0,15,0,33,20,21,25,0
4469,0,0,19,0,33,14,30,19,0
4470,0,0,19,0,21,32,29,17,0
4471,0,0,14,0,34,19,25,26,0
4472,0,0,33,0,39,23,16,19,0
4473,0,0,17,0,39,18,23,15,0
4474,0,0,17,0,42,18,17,16,0
4475,0,0,15,0,35,14,26,18,0
4476,0,0,14,0,37,16,10,23,0
4477,0,0,18,0,33,15,20,19,0
4478,0,0,23,0,34,24,23,17,0
4479,0,0,20,0,30,14,12,35,0
4480,0,0,19,0,44,29,21,26,0
4481,0,0,18,0,40,14,20,20,0
4482,0,0,14,0,54,24,23,16,0
4483,0,0,19,0,51,18,21,11,0
4484,0,0,20,0,45,21,23,30,0
4485,0,0,25,0,43,30,25,22,0
4486,0,0,23,0,48,17,18,25,0
4487,0,0,15,0,46,20,20,29,0
4488,0,0,19,0,50,22,21,29,0
4489,0,0,20,0,61,18,21,22,0
4490,0,0,16,0,55,16,18,14,0
4491,0,0,21,0,63,18,13,22,0
4492,0,0,22,0,59,30,23,18,0
4493,0,0,21,0,52,24,19,19,0
4494,0,0,17,0,53,28,23,33,0
4495,0,0,25,0,33,22,20,24,0
4496,0,0,18,0,63,15,23,21,0
4497,0,0,15,0,55,19,13,27,0
4498,0,0,27,0,41,17,20,25,0
4499,0,0,20,0,66,20,20,17,0
4500,0,0,25,0,47,15,21,23,0
4501,0,0,15,0,60,17,24,17,0
4502,0,0,19,0,60,17,26,23,0
4503,0,0,19,0,47,16,20,18,0
4504,0,0,23,0,58,17,11,29,0
4505,0,0,25,0,53,14,19,18,0
4506,0,0,23,0,60,14,22,25,0
4507,0,0,26,0,48,19,20,30,0
4508,0,0,22,0,48,18,18,18,0
4509,0,0,31,0,50,18,16,18,0
4510,0,0,25,0,57,25,31,23,0
4511,0,0,27,0,53,26,18,31,0
4512,0,0,19,0,36,20,15,14,0
4513,0,0,17,0,36,18,19,16,0
4514,0,0,15,0,52,23,9,15,0
4515,0,0,17,0,39,16,22,18,0
4516,0,0,16,0,39,22,27,24,0
4517,0,0,25,0,39,22,23,24,0
4518,0,0,21,0,47,16,16,25,0
4519,0,0,19,0,38,16,13,22,0
4520,0,0,24,0,34,18,19,16,0
4521,0,0,21,0,33,10,19,29,0
4522,0,0,21,0,32,27,22,20,0
4523,0,0,18,0,40,25,26,26,0
4524,0,0,21,0,29,10,18,17,0
4525,0,0,31,0,30,19,21,22,0
4526,0,0,20,0,30,20,19,25,0
4527,0,0,13,0,33,23,25,24,0
4528,0,0,14,0,20,17,15,17,0
4529,0,0,18,0,22,24,18,25,0
4530,0,0,28,0,27,18,22,31,0
4531,0,0,20,0,23,17,27,14,0
4532,0,0,23,0,20,14,32,19,0
4533,0,0,18,0,21,20,12,16,0
4534,0,0,21,0,20,15,27,23,0
4535,0,0,18,0,14,16,22,22,0
4536,0,0,23,0,13,23,26,17,0
4537,0,0,22,0,20,23,26,18,0
4538,0,0,20,0,13,25,19,13,0
4539,0,0,22,0,6,15,16,14,0
4540,0,0,15,0,11,17,27,22,0
4541,0,0,20,0,13,14,12,20,0
4542,0,0,22,0,9,21,26,25,0
4543,0,0,23,0,12,20,26,19,0
4544,0,0,12,0,10,28,13,20,0
4545,0,0,22,0,8,23,18,23,0
4546,0,0,16,0,9,22,15,18,0
4547,0,0,19,0,3,24,21,14,0
4548,0,0,22,0,5,24,20,19,0
4549,0,0,18,0,12,19,15,22,0
4550,0,0,16,0,8,17,30,12,0
4551,0,0,17,0,12,27,15,27,0
4552,0,0,16,0,4,12,21,29,0
4553,0,0,17,0,5,20,29,26,0
4554,0,0,17,0,7,20,29,21,0
4555,0,0,18,0,9,21,18,17,0
4556,0,0,15,0,5,16,21,21,0
4557,0,0,11,0,5,31,23,23,0
4558,0,0,20,0,5,23,17,17,0
4559,0,0,24,0,7,31,19,24,0
4560,0,0,25,0,8,13,17,26,0
4561,0,0,26,0,9,19,17,14,0
4562,0,0,18,0,7,19,23,17,0
4563,0,0,21,0,9,18,25,21,0
4564,0,0,23,0,12,10,21,18,0
4565,0,0,15,0,12,13,24,14,0
4566,0,0,26,0,11,28,21,25,0
4567,0,0,17,0,13,16,19,25,0
4568,0,0,16,0,8,23,18,20,0
4569,0,0,23,0,12,20,15,16,0
4570,0,0,29,0,14,18,15,28,0
4571,0,0,21,0,15,31,22,23,0
4572,0,0,19,0,15,16,15,28,0
4573,0,0,22,0,12,23,25,24,0
4574,0,0,16,0,22,17,20,23,0
4575,0,0,17,0,21,17,23,22,0
4576,0,0,23,0,28,22,24,18,0
4577,0,0,10,0,10,19,20,23,0
4578,0,0,22,0,29,18,19,15,0
4579,0,0,20,0,36,18,23,27,0
4580,0,0,24,0,31,19,28,21,0
4581,0,0,18,0,18,24,20,27,0
4582,0,0,19,0,25,16,17,20,0
4583,0,0,23,0,18,23,13,21,0
4584,0,0,27,0,27,19,16,20,0
4585,0,0,18,0,30,11,23,25,0
4586,0,0,13,0,35,14,23,22,0
4587,0,0,23,0,29,17,15,22,0
4588,0,0,25,0,25,24,24,22,0
4589,0,0,22,0,38,26,17,29,0
